Modelo,Escenario,Varianza,Paso,ECRPS_Mean
EnCQR-LSTM,No_Lineal,0.2,3,0.29854873641810314
EnCQR-LSTM,No_Lineal,0.2,4,0.31089406745395964
EnCQR-LSTM,No_Lineal,0.2,5,0.30817563569459994
EnCQR-LSTM,No_Lineal,0.5,1,0.4541790847664263
EnCQR-LSTM,No_Lineal,0.5,2,0.4325858814163415
EnCQR-LSTM,No_Lineal,0.5,3,0.46761226346473084
EnCQR-LSTM,No_Lineal,0.5,4,0.449228494298666
EnCQR-LSTM,No_Lineal,0.5,5,0.43830093400733744
EnCQR-LSTM,No_Lineal,1.0,1,0.6535310376908783
EnCQR-LSTM,No_Lineal,1.0,2,0.6457110841313648
EnCQR-LSTM,No_Lineal,1.0,3,0.6624133716072417
EnCQR-LSTM,No_Lineal,1.0,4,0.6980392017861285
EnCQR-LSTM,No_Lineal,1.0,5,0.611588114500942
EnCQR-LSTM,No_Lineal,3.0,1,1.0806380914980689
EnCQR-LSTM,No_Lineal,3.0,2,1.1701198605440677
EnCQR-LSTM,No_Lineal,3.0,3,1.150864899660279
EnCQR-LSTM,No_Lineal,3.0,4,1.163315137237726
EnCQR-LSTM,No_Lineal,3.0,5,1.1568940610884983
LSPM,Estacionario_Lineal,0.2,1,0.35522114875754496
LSPM,Estacionario_Lineal,0.2,2,0.33457002039144645
LSPM,Estacionario_Lineal,0.2,3,0.3467423705681116
LSPM,Estacionario_Lineal,0.2,4,0.34068422954025446
LSPM,Estacionario_Lineal,0.2,5,0.34996887478533645
LSPM,Estacionario_Lineal,0.5,1,0.5865805672913738
LSPM,Estacionario_Lineal,0.5,2,0.47542947470973773
LSPM,Estacionario_Lineal,0.5,3,0.5426511958976944
LSPM,Estacionario_Lineal,0.5,4,0.5497158374355066
LSPM,Estacionario_Lineal,0.5,5,0.4909545936405069
LSPM,Estacionario_Lineal,1.0,1,0.7789718471913883
LSPM,Estacionario_Lineal,1.0,2,0.8389248834789818
LSPM,Estacionario_Lineal,1.0,3,0.7450419651675365
LSPM,Estacionario_Lineal,1.0,4,0.7797635353692368
LSPM,Estacionario_Lineal,1.0,5,0.7027409178094859
LSPM,Estacionario_Lineal,3.0,1,1.2747484165955425
LSPM,Estacionario_Lineal,3.0,2,1.252462603650674
LSPM,Estacionario_Lineal,3.0,3,1.3078889670858769
LSPM,Estacionario_Lineal,3.0,4,1.3166045249893827
LSPM,Estacionario_Lineal,3.0,5,1.2441110222047205
LSPM,No_Estacionario_Lineal,0.2,1,0.6192669127347947
LSPM,No_Estacionario_Lineal,0.2,2,0.47055732128710925
LSPM,No_Estacionario_Lineal,0.2,3,0.5694432508829473
LSPM,No_Estacionario_Lineal,0.2,4,0.5081633169812437
LSPM,No_Estacionario_Lineal,0.2,5,0.48089121547986835
LSPM,No_Estacionario_Lineal,0.5,1,0.8142544109403661
LSPM,No_Estacionario_Lineal,0.5,2,0.8832740495287532
LSPM,No_Estacionario_Lineal,0.5,3,0.8865619343212818
LSPM,No_Estacionario_Lineal,0.5,4,0.8223360032552528
LSPM,No_Estacionario_Lineal,0.5,5,0.8525055480274975
LSPM,No_Estacionario_Lineal,1.0,1,1.1510564010962823
LSPM,No_Estacionario_Lineal,1.0,2,1.073716462991346
LSPM,No_Estacionario_Lineal,1.0,3,1.1323790747569193
LSPM,No_Estacionario_Lineal,1.0,4,1.162848745560217
LSPM,No_Estacionario_Lineal,1.0,5,1.0102104006496782
LSPM,No_Estacionario_Lineal,3.0,1,1.9317481329397814
LSPM,No_Estacionario_Lineal,3.0,2,1.8317655783617004
LSPM,No_Estacionario_Lineal,3.0,3,1.886828110723804
LSPM,No_Estacionario_Lineal,3.0,4,1.940973610310241
LSPM,No_Estacionario_Lineal,3.0,5,1.7949607685005362
LSPM,No_Lineal,0.2,1,0.3624927227174925
LSPM,No_Lineal,0.2,2,0.2945863513635462
LSPM,No_Lineal,0.2,3,0.32416173025603184
LSPM,No_Lineal,0.2,4,0.32426943318254475
LSPM,No_Lineal,0.2,5,0.3108106269607011
LSPM,No_Lineal,0.5,1,0.5084241829460883
LSPM,No_Lineal,0.5,2,0.4885582063443606
LSPM,No_Lineal,0.5,3,0.4980633480184419
LSPM,No_Lineal,0.5,4,0.5046928933161662
LSPM,No_Lineal,0.5,5,0.450786710225273
LSPM,No_Lineal,1.0,1,0.6658703788857725
LSPM,No_Lineal,1.0,2,0.6858200402604054
LSPM,No_Lineal,1.0,3,0.6978623605640235
LSPM,No_Lineal,1.0,4,0.7321938790151105
LSPM,No_Lineal,1.0,5,0.6348920777780486
LSPM,No_Lineal,3.0,1,1.1373625740061422
LSPM,No_Lineal,3.0,2,1.2073244677307282
LSPM,No_Lineal,3.0,3,1.1717818862484748
LSPM,No_Lineal,3.0,4,1.2163884907288525
LSPM,No_Lineal,3.0,5,1.161905965913723
LSPMW,Estacionario_Lineal,0.2,1,0.3461245677091274
LSPMW,Estacionario_Lineal,0.2,2,0.3750433246045507
LSPMW,Estacionario_Lineal,0.2,3,0.364458622912003
LSPMW,Estacionario_Lineal,0.2,4,0.38372347029126047
LSPMW,Estacionario_Lineal,0.2,5,0.3688440270323294
LSPMW,Estacionario_Lineal,0.5,1,0.5899679119460776
LSPMW,Estacionario_Lineal,0.5,2,0.5016884328213499
LSPMW,Estacionario_Lineal,0.5,3,0.5824052249847613
LSPMW,Estacionario_Lineal,0.5,4,0.5808529445194871
LSPMW,Estacionario_Lineal,0.5,5,0.4986139367017316
LSPMW,Estacionario_Lineal,1.0,1,0.7434877999086299
LSPMW,Estacionario_Lineal,1.0,2,0.9576537815044913
LSPMW,Estacionario_Lineal,1.0,3,0.7902881322364368
LSPMW,Estacionario_Lineal,1.0,4,0.8524279160638187
LSPMW,Estacionario_Lineal,1.0,5,0.7452224652358448
LSPMW,Estacionario_Lineal,3.0,1,1.2594449750079215
LSPMW,Estacionario_Lineal,3.0,2,1.3015537976024139
LSPMW,Estacionario_Lineal,3.0,3,1.374693405829619
LSPMW,Estacionario_Lineal,3.0,4,1.3531013180950218
LSPMW,Estacionario_Lineal,3.0,5,1.3017124726116784
LSPMW,No_Estacionario_Lineal,0.2,1,0.5748433082436307
LSPMW,No_Estacionario_Lineal,0.2,2,0.46314722146806864
LSPMW,No_Estacionario_Lineal,0.2,3,0.5531386058304463
LSPMW,No_Estacionario_Lineal,0.2,4,0.512704325085822
LSPMW,No_Estacionario_Lineal,0.2,5,0.48689518202289067
LSPMW,No_Estacionario_Lineal,0.5,1,0.7701434958457256
LSPMW,No_Estacionario_Lineal,0.5,2,0.848318932728532
LSPMW,No_Estacionario_Lineal,0.5,3,0.8904807273849268
LSPMW,No_Estacionario_Lineal,0.5,4,0.8283259358783428
LSPMW,No_Estacionario_Lineal,0.5,5,0.8485358530510061
LSPMW,No_Estacionario_Lineal,1.0,1,1.066939809162142
LSPMW,No_Estacionario_Lineal,1.0,2,1.1195828961653118
LSPMW,No_Estacionario_Lineal,1.0,3,1.135504522829302
LSPMW,No_Estacionario_Lineal,1.0,4,1.2225490390396339
LSPMW,No_Estacionario_Lineal,1.0,5,1.0091781997373097
LSPMW,No_Estacionario_Lineal,3.0,1,1.8127390048715877
LSPMW,No_Estacionario_Lineal,3.0,2,1.8463513675068255
LSPMW,No_Estacionario_Lineal,3.0,3,1.9606234550731338
LSPMW,No_Estacionario_Lineal,3.0,4,2.0058877738325083
LSPMW,No_Estacionario_Lineal,3.0,5,1.8444599550743914
LSPMW,No_Lineal,0.2,1,0.3437743227450253
LSPMW,No_Lineal,0.2,2,0.3305342015195841
LSPMW,No_Lineal,0.2,3,0.32307838111229764
LSPMW,No_Lineal,0.2,4,0.36394498896446936
LSPMW,No_Lineal,0.2,5,0.3382250794202767
LSPMW,No_Lineal,0.5,1,0.5108037750002784
LSPMW,No_Lineal,0.5,2,0.5261964906018105
LSPMW,No_Lineal,0.5,3,0.5338788633669144
LSPMW,No_Lineal,0.5,4,0.5231753177685281
LSPMW,No_Lineal,0.5,5,0.462221143899612
LSPMW,No_Lineal,1.0,1,0.6384501430436069
LSPMW,No_Lineal,1.0,2,0.7593350931204075
LSPMW,No_Lineal,1.0,3,0.7591661191888374
LSPMW,No_Lineal,1.0,4,0.798831750610602
LSPMW,No_Lineal,1.0,5,0.6561984851239736
LSPMW,No_Lineal,3.0,1,1.1305666987085288
LSPMW,No_Lineal,3.0,2,1.2448122137160582
LSPMW,No_Lineal,3.0,3,1.2393684412894816
LSPMW,No_Lineal,3.0,4,1.2750336427112325
LSPMW,No_Lineal,3.0,5,1.2488621232151662
MCPS,Estacionario_Lineal,0.2,1,0.25715679408601166
MCPS,Estacionario_Lineal,0.2,2,0.2914951439643874
MCPS,Estacionario_Lineal,0.2,3,0.3188060624307087
MCPS,Estacionario_Lineal,0.2,4,0.2774327439639369
MCPS,Estacionario_Lineal,0.2,5,0.29237873406902337
MCPS,Estacionario_Lineal,0.5,1,0.4031053258461482
